Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 12 [15360/49000 (31%)]	Train Loss: 1.228360	Val Loss: 1.266047	Val Acc: 55
Train Epoch: 12 [20480/49000 (42%)]	Train Loss: 1.253960	Val Loss: 1.262376	Val Acc: 56
Train Epoch: 12 [25600/49000 (52%)]	Train Loss: 1.290580	Val Loss: 1.266045	Val Acc: 54
Train Epoch: 12 [30720/49000 (62%)]	Train Loss: 1.299521	Val Loss: 1.269631	Val Acc: 55
Train Epoch: 12 [35840/49000 (73%)]	Train Loss: 1.246699	Val Loss: 1.280931	Val Acc: 55
Train Epoch: 12 [40960/49000 (83%)]	Train Loss: 1.271214	Val Loss: 1.264127	Val Acc: 56
Train Epoch: 12 [46080/49000 (94%)]	Train Loss: 1.272737	Val Loss: 1.255678	Val Acc: 56
Train Epoch: 13 [0/49000 (0%)]	Train Loss: 1.257711	Val Loss: 1.260135	Val Acc: 55
Train Epoch: 13 [5120/49000 (10%)]	Train Loss: 1.231048	Val Loss: 1.261396	Val Acc: 56
Train Epoch: 13 [10240/49000 (21%)]	Train Loss: 1.264647	Val Loss: 1.262373	Val Acc: 56
Train Epoch: 13 [15360/49000 (31%)]	Train Loss: 1.289401	Val Loss: 1.247084	Val Acc: 56
Train Epoch: 13 [20480/49000 (42%)]	Train Loss: 1.202865	Val Loss: 1.241733	Val Acc: 55
Train Epoch: 13 [25600/49000 (52%)]	Train Loss: 1.288289	Val Loss: 1.252860	Val Acc: 56
Train Epoch: 13 [30720/49000 (62%)]	Train Loss: 1.292376	Val Loss: 1.259868	Val Acc: 56
Train Epoch: 13 [35840/49000 (73%)]	Train Loss: 1.254676	Val Loss: 1.240970	Val Acc: 56
Train Epoch: 13 [40960/49000 (83%)]	Train Loss: 1.265938	Val Loss: 1.249445	Val Acc: 56
Train Epoch: 13 [46080/49000 (94%)]	Train Loss: 1.247808	Val Loss: 1.236874	Val Acc: 57
Train Epoch: 14 [0/49000 (0%)]	Train Loss: 1.272525	Val Loss: 1.258761	Val Acc: 55
Train Epoch: 14 [5120/49000 (10%)]	Train Loss: 1.219621	Val Loss: 1.243170	Val Acc: 57
Train Epoch: 14 [10240/49000 (21%)]	Train Loss: 1.256429	Val Loss: 1.236371	Val Acc: 56
Train Epoch: 14 [15360/49000 (31%)]	Train Loss: 1.327639	Val Loss: 1.239047	Val Acc: 56
Train Epoch: 14 [20480/49000 (42%)]	Train Loss: 1.352529	Val Loss: 1.237188	Val Acc: 55
Train Epoch: 14 [25600/49000 (52%)]	Train Loss: 1.246997	Val Loss: 1.228742	Val Acc: 56
Train Epoch: 14 [30720/49000 (62%)]	Train Loss: 1.206888	Val Loss: 1.230011	Val Acc: 57
Train Epoch: 14 [35840/49000 (73%)]	Train Loss: 1.285731	Val Loss: 1.221095	Val Acc: 57
Train Epoch: 14 [40960/49000 (83%)]	Train Loss: 1.240643	Val Loss: 1.225843	Val Acc: 57
Train Epoch: 14 [46080/49000 (94%)]	Train Loss: 1.234071	Val Loss: 1.231727	Val Acc: 57
Train Epoch: 15 [0/49000 (0%)]	Train Loss: 1.192289	Val Loss: 1.225471	Val Acc: 56
Train Epoch: 15 [5120/49000 (10%)]	Train Loss: 1.290385	Val Loss: 1.225495	Val Acc: 58
